Target_GDP,Target_Country
142214,Luxembourg
127565,Singapore
126905,Ireland
114899,Norway
114648,Qatar
87729,United Arab Emirates
83598,Switzerland
74005,Denmark
69577,Netherlands
69275,Brunei
69081,Iceland
69049,Hong Kong
67936,Austria
65281,United States
65027,Belgium
64578,Sweden
63150,Germany
62625,Australia
61228,Bahrain
59065,Saudi Arabia
59027,Finland
58400,Canada
58056,Kuwait
55928,Malta
55493,France
55344,Macao
54603,United Kingdom
51967,New Zealand
51865,Italy
50070,South Korea
50032,Slovenia
49946,Czech Republic (Czechia)
49931,Cyprus
49509,Israel
48397,Lithuania
46697,Estonia
45825,Spain
45573,Japan
43269,Poland
41907,Hungary
41888,Romania
41724,Oman
41452,Portugal
40642,Guyana
40380,Croatia
40379,Bahamas
39956,Latvia
39280,Panama
37459,Slovakia
37274,Turkey
36835,Greece
36485,Russia
35228,Seychelles
34052,Saint Kitts & Nevis
33582,Bulgaria
33434,Malaysia
30810,Kazakhstan
30209,Chile
28842,Uruguay
27778,Trinidad and Tobago
26984,Montenegro
26906,Mauritius
26505,Argentina
25337,Antigua and Barbuda
24923,Costa Rica
24772,Maldives
23911,Serbia
23375,Libya
22834,Dominican Republic
22591,Belarus
21512,Mexico
21476,China
20672,Thailand
20377,Bosnia and Herzegovina
20287,Colombia
20162,North Macedonia
20113,Georgia
18942,Armenia
18552,Albania
18323,Botswana
18075,Iran
17837,Barbados
17822,Brazil
17764,Azerbaijan
17756,Saint Lucia
17620,Suriname
17396,Equatorial Guinea
17207,St. Vincent & Grenadines
16987,Grenada
16471,Gabon
15977,Paraguay
15905,South Africa
15238,Moldova
15091,Egypt
15048,Peru
14653,Indonesia
14405,Sri Lanka
14230,Mongolia
14125,Fiji
13573,Dominica
13457,Vietnam
13210,Algeria
12822,Ecuador
12671,Ukraine
12490,Tunisia
11822,Jamaica
11451,Belize
11206,Namibia
11096,El Salvador
11003,Jordan
10862,Iraq
10818,Guatemala
10782,Eswatini
10133,Philippines
9684,Bolivia
9533,Uzbekistan
9519,Morocco
9384,Laos
9083,Cabo Verde
8379,India
7395,Bangladesh
7228,Marshall Islands
6974,Angola
6875,Nicaragua
6757,State of Palestine
6741,Honduras
6538,C̫te d'Ivoire
6498,Ghana
6437,Pakistan
6424,Mauritania
6133,Kyrgyzstan
6041,Samoa
5860,Nigeria
5764,Kenya
5421,Tuvalu
5349,Cambodia
4885,Tajikistan
4870,Myanmar
4828,Timor-Leste
4738,Sao Tome & Principe
4725,Nepal
4447,Papua New Guinea
4408,Cameroon
4216,Sudan
4209,Senegal
4056,Benin
3894,Zambia
3855,Micronesia
3832,Comoros
3791,Congo
3305,Haiti
3289,Vanuatu
3187,Guinea
3097,Tanzania
2812,Ethiopia
2792,Rwanda
2695,Lesotho
2694,Uganda
2654,Solomon Islands
2608,Togo
2546,Burkina Faso
2531,Zimbabwe
2517,Mali
2510,Gambia
2365,Kiribati
2190,Guinea-Bissau
1931,Sierra Leone
1774,Madagascar
1732,Malawi
1725,Liberia
1668,Chad
1505,Niger
1468,Mozambique
1337,DR Congo
967,Central African Republic
836,Burundi